time;open;high;low;close;Volume;Volume MA;RSI_1
28.10.2018 17:00;6487.01;6503.39;6465;6468.65;1074.79978;1247.2164810999989;31.329291418771092
28.10.2018 21:00;6468.65;6505;6453;6489.93;990.159409;1227.3717002499986;39.51064576988165
29.10.2018 01:00;6489.93;6505.01;6479.27;6496.94;837.26119;1227.5337646999988;41.96357709259243
29.10.2018 05:00;6496.93;6502.68;6493;6498.97;911.355286;1235.6481111999988;42.688366654074876
29.10.2018 09:00;6497.55;6501;6390;6429.9;3733.899491;1334.6272158999986;29.286678366070888
29.10.2018 13:00;6427.41;6429.79;6315;6382.56;5325.25445;1477.7266928499987;23.776956062118515
29.10.2018 17:00;6383.29;6385.99;6331;6336.1;1793.006914;1460.0600982999988;19.83336682692598
29.10.2018 21:00;6336.1;6349.76;6317;6344.5;1226.446736;1444.1083339999989;22.34126832311989
30.10.2018 01:00;6344.5;6378.62;6340.37;6363.76;1137.680365;1453.7028506999989;27.909967186159292
30.10.2018 05:00;6361.07;6395;6358.93;6373;1556.720933;1502.123347849999;30.48534061644621
30.10.2018 09:00;6373;6373;6330;6359.02;1539.47167;1535.5288422999988;28.80844989432474
30.10.2018 13:00;6360.33;6376.81;6342;6353.97;1576.037445;1582.3555329999988;28.204908182370446
30.10.2018 17:00;6353.97;6355;6326.57;6332;1598.628651;1610.3128708999989;25.68391333664971
30.10.2018 21:00;6331;6349.68;6317.01;6330.87;1468.636321;1556.7528945999989;25.557382404180643
31.10.2018 01:00;6330.01;6347.12;6330;6339.39;1325.736825;1561.5793071999988;28.42069538630409
31.10.2018 05:00;6338.99;6342.88;6327.97;6335.33;874.450783;1532.426039399999;27.870566927811836
31.10.2018 09:00;6335.33;6342.98;6320;6331.87;1512.511837;1576.762174549999;27.38408975094687
31.10.2018 13:00;6331.88;6428;6245.02;6394.8;5473.752597;1801.309974449999;45.88523968366322
31.10.2018 17:00;6393.38;6393.38;6347.41;6371.37;2183.093437;1873.037552049999;41.63223462170642
31.10.2018 21:00;6371.37;6384.64;6363.41;6371.93;779.342737;1845.9123428499993;41.771153575242764
01.11.2018 01:00;6369.52;6377;6352.5;6362.59;1099.348519;1847.1397797999991;40.05866213283003
01.11.2018 05:00;6362.8;6400;6360;6388.99;1320.66377;1863.664997849999;46.70905220484649
01.11.2018 09:00;6388.99;6392;6363.63;6366.98;1393.247417;1891.4643091999992;42.47767073029176
01.11.2018 13:00;6368.17;6372;6348.66;6367.23;1650.933659;1928.4432278499994;42.54134166945139
01.11.2018 17:00;6368.12;6386.89;6363;6379.68;1472.50609;1815.3735577999996;45.76114490063644
01.11.2018 21:00;6379.68;6442.65;6376;6410;2162.336386;1657.2276545999998;52.71103851138552
02.11.2018 01:00;6410;6460.34;6407.65;6431.97;1912.066263;1663.1806220499996;57.009613754879474
02.11.2018 05:00;6431.97;6436.78;6415;6425.2;1349.138976;1669.3152340499994;55.34025675906484
02.11.2018 09:00;6424.73;6425.2;6388.2;6421.36;1589.147177;1691.8885746499993;54.36780039103091
02.11.2018 13:00;6421.08;6448;6402;6424.8;2152.738534;1721.6894546999993;55.12849698774495
02.11.2018 17:00;6424.8;6437.62;6413;6430.99;1488.074196;1719.1195809999995;56.53266781386009
02.11.2018 21:00;6431;6445;6424.72;6433.98;1248.275533;1702.7314853999992;57.22891715461388
03.11.2018 01:00;6432.8;6439.97;6413.77;6414.95;1189.879604;1682.2940330499994;51.56744109298693
03.11.2018 05:00;6414.95;6425;6403.47;6408.08;944.758136;1656.1001237999994;49.65757767799572
03.11.2018 09:00;6408.08;6413.34;6345;6367.04;2167.261751;1698.1763700999993;40.102513285249
03.11.2018 13:00;6366;6377.94;6345.78;6374;1670.58005;1737.9828334499991;42.136008011267116
03.11.2018 17:00;6373.87;6382;6364.35;6375.34;802.814924;1702.497987799999;42.54046912048779
03.11.2018 21:00;6377.91;6392.28;6376.63;6387.09;885.947011;1473.1077084999993;46.098325288296266
04.11.2018 01:00;6388;6389;6362;6371.82;1059.427028;1416.9243880499992;42.42208278368526
04.11.2018 05:00;6371.85;6416.6;6359;6391.09;1355.679122;1445.7412072999991;48.05215424412283
04.11.2018 09:00;6388.33;6415.47;6387;6402.54;1338.899514;1457.7187570499993;51.11113249205682
04.11.2018 13:00;6403.96;6500;6397.03;6479.99;2301.166272;1506.7438821499993;65.7869252775086
04.11.2018 17:00;6481.7;6525;6444.35;6481.1;3408.585251;1607.5107738499994;65.94470908383948
04.11.2018 21:00;6481.16;6491.58;6460;6485.85;1128.637756;1581.3959786999994;66.65343248678516
05.11.2018 01:00;6485.85;6495;6460.49;6468.97;1449.251985;1580.2332734499994;61.73646377068576
05.11.2018 05:00;6466.24;6478.57;6460.03;6472.01;785.876006;1511.4102544499995;62.2761934000879
05.11.2018 09:00;6472.64;6472.64;6438.9;6452.84;1535.984483;1492.6061654499995;56.832185737961176
05.11.2018 13:00;6454.15;6504.39;6452.83;6473.15;2556.875195;1552.9929763999994;60.74725292066449
05.11.2018 17:00;6475.19;6478.38;6431.02;6448.12;1796.000561;1563.3356455999997;54.22075331199198
05.11.2018 21:00;6449.57;6475;6448;6468.99;863.893926;1498.8934151999997;58.24858364947589
06.11.2018 01:00;6468.99;6476.44;6445.18;6448.38;1507.746133;1499.8770120499996;53.264549482487176
06.11.2018 05:00;6451.66;6468.74;6446.09;6464.34;1160.235907;1495.4750307499994;56.37732306894192
06.11.2018 09:00;6464.34;6514.73;6462;6471.72;2599.816759;1565.9718884999995;57.777719339492826
06.11.2018 13:00;6470.15;6509.8;6468.8;6496.27;2759.798574;1656.7239103999993;62.13266906544934
06.11.2018 17:00;6496.27;6502.07;6475.6;6479.87;1714.640566;1634.0928511499994;57.84074186285212
06.11.2018 21:00;6479.87;6531.31;6476.05;6519.11;2184.32776;1659.7802366499993;64.21093404735578
07.11.2018 01:00;6522.73;6615.15;6509;6580;4316.044846;1835.4417327499991;71.42589347123578
07.11.2018 05:00;6580;6590.02;6561;6581.97;1488.190471;1865.5539057499996;71.62519988527605
07.11.2018 09:00;6579.32;6604.99;6563.01;6575.01;2561.072731;1940.6361908999995;69.77351569303205
07.11.2018 13:00;6577.63;6587.11;6536;6547.96;2604.823323;2003.0934009499992;62.960888363042315
07.11.2018 17:00;6547.94;6592.09;6540.05;6570;2054.320443;2038.8644473999993;65.88378757405175
07.11.2018 21:00;6571.38;6584.7;6563.33;6578.46;1247.139303;1986.1630989499995;66.96153404241925
08.11.2018 01:00;6578.46;6594;6505;6511.08;2999.217269;1965.6946998499996;52.68589683240541
08.11.2018 05:00;6511.07;6539.12;6505.48;6536.31;1530.316103;1985.7786171999996;56.43143551140614
08.11.2018 09:00;6531.98;6548.96;6519.26;6527.34;1495.054979;1988.0687668999994;54.771325751286625
08.11.2018 13:00;6529.8;6560;6527.33;6539.01;1637.485785;2030.6492558499995;56.56173087837596
08.11.2018 17:00;6538.98;6542.14;6471.22;6495.72;3659.26174;2136.8131186999994;48.8384667233602
08.11.2018 21:00;6495.74;6515;6468.22;6479.84;1938.453406;2105.8920292499997;46.33886297729312
09.11.2018 01:00;6479.84;6493.08;6472.99;6486.84;1535.323114;2092.8581568999994;47.61170823500791
09.11.2018 05:00;6486.84;6502;6483.26;6499.27;1143.021496;2106.8145354;49.88493022992092
09.11.2018 09:00;6499.27;6511.53;6412.9;6428.91;3275.244946;2195.1894760499995;39.44991534235046
09.11.2018 13:00;6425.81;6444;6391.01;6429.89;2821.00985;2278.2281731999997;39.63930787127161
09.11.2018 17:00;6429.89;6442.7;6422.11;6434.03;1654.026871;2230.9386787999997;40.48619350520931
09.11.2018 21:00;6434.03;6444;6391.5;6419.99;1358.990306;2160.8982653999997;38.51274205850715
10.11.2018 01:00;6419.99;6443.19;6411;6434.69;1072.641936;2128.7983338999993;41.716082834028896
10.11.2018 05:00;6436.77;6472.57;6426.64;6445.89;1489.522708;2094.0580812999992;44.105397027539034
